Algoritmo,F1_Macro,Precision_Macro,Recall_Macro,Accuracy,PR_AUC_Macro,Hiperparametros,Lista_Features,Dry_F1,Dry_Precision,Dry_Recall,Dry_PR_AUC,Wet_F1,Wet_Precision,Wet_Recall,Wet_PR_AUC
SGD,0.9579752468687925,0.9583298533744893,0.957983193277311,0.957983193277311,0.9927717879932554,"{'alpha': [0.001], 'penalty': ['l2']}","['spec_skew', 'mfcc_var', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.9573973663826492,0.9709347996857817,0.9442322383498855,0.9938428254044301,0.9585531273549359,0.945724907063197,0.9717341482047365,0.9927717879932554
SGD,0.9579723765936581,0.9584551651937792,0.9579831932773109,0.957983193277311,0.9912730541419269,"{'alpha': [0.001], 'penalty': ['l2']}","['wav_detail_lvl5_std', 'spec_skew', 'spec_kurtosis', 'wav_detail_lvl3_std']",0.9572981366459627,0.9731649565903709,0.9419404125286478,0.9926452059753489,0.9586466165413534,0.9437453737971873,0.974025974025974,0.9912730541419269
LR,0.9579723765936581,0.9584551651937792,0.9579831932773109,0.957983193277311,0.99451315173573,{'C': [1.0]},"['mfcc_mean', 'wav_approx_std', 'spec_kurtosis', 'wav_detail_lvl3_std']",0.9572981366459627,0.9731649565903709,0.9419404125286478,0.9952253500750098,0.9586466165413534,0.9437453737971873,0.974025974025974,0.99451315173573
SGD,0.9579713216076853,0.9585012371862849,0.9579831932773109,0.957983193277311,0.9909353473593114,"{'alpha': [0.001], 'penalty': ['l2']}","['NDSI', 'wav_detail_lvl3_std']",0.9572649572649573,0.9739130434782609,0.9411764705882353,0.9914538193908521,0.9586776859504132,0.943089430894309,0.9747899159663865,0.9909353473593114
SGD,0.9579690642504984,0.9585998409282033,0.9579831932773109,0.957983193277311,0.994229268033971,"{'alpha': [0.001], 'penalty': ['l2']}","['mfcc_mean', 'wav_detail_lvl5_std', 'spec_kurtosis', 'wav_detail_lvl3_std']",0.9571984435797666,0.9754163362410785,0.9396485867074102,0.9951215373173498,0.9587396849212303,0.941783345615328,0.9763177998472116,0.994229268033971
SGD,0.9579678618634608,0.9586523754501073,0.957983193277311,0.957983193277311,0.9944557061894139,"{'alpha': [0.001], 'penalty': ['l2']}","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'spec_kurtosis']",0.9571651090342679,0.9761715647339158,0.9388846447669977,0.9952186276452978,0.9587706146926537,0.9411331861662987,0.9770817417876242,0.9944557061894139
SGD,0.957966610326336,0.9587070670227622,0.957983193277311,0.957983193277311,0.994446319804357,"{'alpha': [0.001], 'penalty': ['l2']}","['mfcc_mean', 'wav_approx_std', 'spec_kurtosis', 'wav_detail_lvl4_std']",0.9571317225253313,0.9769291964996022,0.9381207028265852,0.9951948412501412,0.9588014981273408,0.9404849375459221,0.9778456837280367,0.994446319804357
LR,0.9575936430302863,0.9579286041339613,0.9576012223071046,0.9576012223071046,0.9918895593169731,{'C': [1.0]},"['mfcc_1', 'spec_kurtosis', 'mfcc_var', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.9570267131242741,0.9701726844583988,0.9442322383498855,0.9932741250096241,0.9581605729362985,0.9456845238095238,0.970970206264324,0.9918895593169731
SGD,0.9575936430302863,0.9579286041339613,0.9576012223071046,0.9576012223071046,0.9920888821127981,"{'alpha': [0.001], 'penalty': ['l2']}","['spec_skew', 'spec_kurtosis', 'mfcc_var', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.9570267131242741,0.9701726844583988,0.9442322383498855,0.9932886094766031,0.9581605729362985,0.9456845238095238,0.970970206264324,0.9920888821127981
SGD,0.9575936430302863,0.9579286041339613,0.9576012223071046,0.9576012223071046,0.9924501928634051,"{'alpha': [0.001], 'penalty': ['l2']}","['spec_skew', 'mfcc_1', 'spec_kurtosis', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.9570267131242741,0.9701726844583988,0.9442322383498855,0.9936146160419681,0.9581605729362985,0.9456845238095238,0.970970206264324,0.9924501928634051
