Algoritmo,F1_Macro,Precision_Macro,Recall_Macro,Accuracy,PR_AUC_Macro,Melhores_Hiperparametros,Lista_Features,Dry_F1,Dry_Precision,Dry_Recall,Dry_PR_AUC,Wet_F1,Wet_Precision,Wet_Recall,Wet_PR_AUC
RF,0.9139476710522811,0.9177505180618759,0.9139144251503801,0.9141696292534282,0.9792710440480352,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_5', 'mfcc_3', 'mfcc_11', 'mfcc_10', 'zcr_mean', 'mfcc_8', 'spec_rolloff', 'ACI']",0.9183180280328661,0.8804448563484708,0.9595959595959596,0.981424817747768,0.9095773140716961,0.9550561797752809,0.8682328907048008,0.9792710440480352
RF,0.9139386798125567,0.917911030827312,0.9139087504256043,0.9141696292534282,0.9773257004876006,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_5', 'mfcc_3', 'mfcc_11', 'mfcc_10', 'spec_centroid', 'zcr_mean', 'mfcc_8', 'spec_rolloff', 'ACI']",0.9183969097054563,0.879740980573543,0.9606060606060606,0.9804979218641664,0.9094804499196572,0.956081081081081,0.8672114402451481,0.9773257004876006
RF,0.9139009139009139,0.9185893021120294,0.913886051526501,0.9141696292534282,0.9786789198539748,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_5', 'mfcc_3', 'mfcc_11', 'zcr_mean', 'mfcc_8', 'ACI']",0.9187109187109187,0.8769513314967861,0.9646464646464646,0.9793159120432109,0.9090909090909091,0.9602272727272727,0.8631256384065373,0.9786789198539748
RF,0.9134339860761982,0.9173176269632963,0.9134036999205538,0.9136617572371762,0.9738301257529219,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_5', 'mfcc_11', 'mfcc_8', 'ACI']",0.9178743961352657,0.8796296296296297,0.9595959595959596,0.9684228038187086,0.9089935760171306,0.9550056242969629,0.8672114402451481,0.9738301257529219
RF,0.9134248511258157,0.9174797391777305,0.9133980251957781,0.9136617572371762,0.9795374821891099,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_5', 'mfcc_3', 'mfcc_11', 'mfcc_10', 'spec_centroid', 'mfcc_8', 'spec_rolloff', 'ACI']",0.917953667953668,0.8789279112754159,0.9606060606060606,0.9816470111876621,0.9088960342979635,0.9560315670800451,0.8661899897854954,0.9795374821891099
RF,0.9133864991305788,0.9181644070096335,0.9133753262966746,0.9136617572371762,0.9787577290666416,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_5', 'mfcc_3', 'mfcc_11', 'spec_centroid', 'mfcc_8', 'ACI']",0.9182692307692307,0.8761467889908257,0.9646464646464646,0.9799408045313621,0.9085037674919269,0.9601820250284414,0.8621041879468846,0.9787577290666416
RF,0.9129469497084218,0.9164158992768326,0.9129099988650551,0.9131538852209243,0.9787904625151038,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_5', 'mfcc_3', 'mfcc_11', 'mfcc_10', 'spec_centroid', 'mfcc_8', 'ACI']",0.9171912832929782,0.8809302325581395,0.9565656565656566,0.9794521349986359,0.9087026161238655,0.9519015659955258,0.8692543411644535,0.9787904625151038
RF,0.9129202026505752,0.9168854330741472,0.9128929746907275,0.9131538852209243,0.9798925255668558,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_5', 'mfcc_3', 'mfcc_11', 'mfcc_10', 'zcr_mean', 'mfcc_8', 'ACI']",0.9174311926605505,0.8788159111933395,0.9595959595959596,0.9803122996702835,0.9084092126405999,0.954954954954955,0.8661899897854954,0.9798925255668558
RF,0.9129109228960631,0.91704914239978,0.9128872999659516,0.9131538852209243,0.9784455042327059,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_3', 'mfcc_11', 'mfcc_10', 'spec_centroid', 'mfcc_8', 'spec_rolloff', 'ACI']",0.9175108538350217,0.8781163434903048,0.9606060606060606,0.9769856859530551,0.9083109919571045,0.9559819413092551,0.8651685393258427,0.9784455042327059
RF,0.9128819898050667,0.9175619834710744,0.912870275791624,0.9131538852209243,0.9771337350001966,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_5', 'mfcc_3', 'mfcc_11', 'spec_centroid', 'zcr_mean', 'mfcc_8', 'ACI']",0.9177489177489178,0.8760330578512396,0.9636363636363636,0.9783038382488133,0.9080150618612157,0.9590909090909091,0.8621041879468846,0.9771337350001966
