Algoritmo,F1_Macro,Precision_Macro,Recall_Macro,Accuracy,PR_AUC_Macro,Hiperparametros,Lista_Features,Dry_F1,Dry_Precision,Dry_Recall,Dry_PR_AUC,Wet_F1,Wet_Precision,Wet_Recall,Wet_PR_AUC
RF,0.909378852566171,0.9129058309778242,0.9093519464305981,0.909598781107161,0.9644613341992977,"{'n_estimators': [100], 'max_depth': [10]}","['wav_detail_lvl5_std', 'mfcc_3', 'wav_detail_lvl3_std', 'mfcc_1', 'mfcc_std', 'mfcc_5']",0.9138431752178122,0.8773234200743495,0.9535353535353536,0.9588842828803343,0.9049145299145299,0.948488241881299,0.8651685393258427,0.9644613341992977
RF,0.909378852566171,0.9129058309778242,0.9093519464305981,0.909598781107161,0.9671065911560977,"{'n_estimators': [100], 'max_depth': [10]}","['mfcc_3', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std', 'mfcc_1', 'mae', 'mfcc_std', 'mfcc_5']",0.9138431752178122,0.8773234200743495,0.9535353535353536,0.9489672922077653,0.9049145299145299,0.948488241881299,0.8651685393258427,0.9671065911560977
RF,0.9093409720181607,0.9135405591344049,0.9093292475314947,0.909598781107161,0.970608141948132,"{'n_estimators': [100], 'max_depth': [10]}","['wav_detail_lvl5_std', 'mfcc_3', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std', 'rms_mean', 'mfcc_1', 'mfcc_std', 'mfcc_5']",0.914175506268081,0.8745387453874539,0.9575757575757575,0.9639514263478682,0.9045064377682404,0.9525423728813559,0.8610827374872319,0.970608141948132
RF,0.9089005782321982,0.9118854588920071,0.9088639200998752,0.9090909090909091,0.9613625007285549,"{'n_estimators': [100], 'max_depth': [10]}","['mfcc_3', 'wav_detail_lvl3_std', 'rms_mean', 'mfcc_1', 'mae', 'mfcc_5']",0.9130645944633318,0.8793264733395697,0.9494949494949495,0.9463975831519852,0.9047365620010644,0.9444444444444444,0.8682328907048008,0.9613625007285549
RF,0.9088462940026489,0.912783042061488,0.9088298717512201,0.9090909090909091,0.9708845465924489,"{'n_estimators': [100], 'max_depth': [10]}","['wav_detail_lvl5_std', 'mfcc_3', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std', 'mae', 'mfcc_std', 'mfcc_5']",0.9135683244809271,0.8751156336725254,0.9555555555555556,0.9654694740095356,0.9041242635243707,0.9504504504504504,0.8621041879468846,0.9708845465924489
RF,0.9083873569279444,0.9114436601415903,0.9083531948700487,0.9085830370746572,0.9689721093314823,"{'n_estimators': [100], 'max_depth': [10]}","['wav_detail_lvl5_std', 'mfcc_3', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std', 'rms_mean', 'mfcc_1', 'mae', 'mfcc_std', 'mfcc_5']",0.912621359223301,0.8785046728971962,0.9494949494949495,0.9615765485586338,0.9041533546325878,0.9443826473859844,0.8672114402451481,0.9689721093314823
RF,0.9083786416400745,0.9115859872876421,0.908347520145273,0.9085830370746572,0.9671314764092215,"{'n_estimators': [100], 'max_depth': [10]}","['mfcc_3', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std', 'mfcc_1', 'mfcc_5']",0.9127061105722599,0.8777985074626866,0.9505050505050505,0.9511848928736931,0.9040511727078892,0.9453734671125975,0.8661899897854954,0.9671314764092215
RF,0.9083606374264651,0.9118812365486206,0.9083361706957213,0.9085830370746572,0.9664608494740772,"{'n_estimators': [100], 'max_depth': [10]}","['wav_detail_lvl5_std', 'mfcc_3', 'wav_detail_lvl3_std', 'rms_mean', 'mfcc_1', 'mfcc_std', 'mfcc_5']",0.9128751210067764,0.8763940520446096,0.9525252525252526,0.9601047835532425,0.9038461538461539,0.9473684210526315,0.86414708886619,0.9664608494740772
RF,0.9083321953096872,0.9123507138436275,0.9083191465213938,0.9085830370746572,0.9705484585489123,"{'n_estimators': [100], 'max_depth': [10]}","['wav_detail_lvl5_std', 'mfcc_3', 'wav_detail_lvl3_std', 'mfcc_1', 'mae', 'mfcc_5']",0.9131274131274131,0.8743068391866913,0.9555555555555556,0.9597444570190714,0.9035369774919614,0.9503945885005637,0.8610827374872319,0.9705484585489123
RF,0.9083321953096872,0.9123507138436275,0.9083191465213938,0.9085830370746572,0.9693786472725129,"{'n_estimators': [100], 'max_depth': [10]}","['wav_detail_lvl5_std', 'mfcc_3', 'wav_detail_lvl3_std', 'rms_mean', 'mfcc_1', 'mfcc_5']",0.9131274131274131,0.8743068391866913,0.9555555555555556,0.9566895131293478,0.9035369774919614,0.9503945885005637,0.8610827374872319,0.9693786472725129
